Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
35657891,Planetside (Planetside #1),Michael Mammay,"Mammay, Michael",,"=""0062694677""","=""9780062694676""",0,4.00,Harper Voyager,ebook,384,2018,2018,,2022/02/08,to-read,to-read (#231),to-read,,,,0,,,0,,,,,
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.53,Ballantine Books,Hardcover,476,2021,2021,2021/11/15,2021/04/30,,,read,,,,1,,,0,,,,,
54615879,The Original,Brandon Sanderson,"Sanderson, Brandon","Mary Robinette Kowal, Julia Whelan","=""""","=""""",3,3.84,Recorded Books,Audible Audio,4,2020,2020,2021/10/24,2021/10/04,,,read,,,,1,,,0,,,,,
58419574,"Lux (Texas Reckoners, #1)",Brandon Sanderson,"Sanderson, Brandon",Steven Bohls,"=""""","=""""",4,3.97,Audible Originals,Audible Audio,480,2021,2021,2021/08/30,2021/08/12,,,read,,,,1,,,0,,,,,
48613351,In the Shadow of Lightning (Glass Immortals #1),Brian  McClellan,"McClellan, Brian",,"=""""","=""""",0,4.89,Tor Books,Kindle Edition,576,2022,2022,,2021/08/27,to-read,to-read (#230),to-read,,,,0,,,0,,,,,
42950440,"Heaven's River (Bobiverse, #4)",Dennis E. Taylor,"Taylor, Dennis E.",Ray Porter,"=""""","=""""",4,4.31,Audible Studios,Audible Audio,608,2020,2020,2021/08/12,2021/05/12,,,read,,,,1,,,0,,,,,
55957410,Feedback,Dennis E. Taylor,"Taylor, Dennis E.",Ray Porter,"=""""","=""""",0,3.82,Audible Originals,Audible Audio,1,2020,2020,,2021/08/03,to-read,to-read (#229),to-read,,,,0,,,0,,,,,
24292598,Outland,Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",0,4.09,,Kindle Edition,360,2015,2015,,2021/08/03,to-read,to-read (#228),to-read,,,,0,,,0,,,,,
57188483,"A Darker Magic (Starship's Mage, #10)",Glynn Stewart,"Stewart, Glynn",,"=""""","=""""",2,4.42,,Kindle Edition,327,2021,2021,2021/08/03,2021/07/14,,,read,,,,1,,,0,,,,,
57189884,"He Who Fights with Monsters (He Who Fights with Monsters, #1)",Shirtaloon,"Shirtaloon, Shirtaloon",,"=""""","=""""",0,4.51,,Kindle Edition,680,2021,2021,,2021/08/02,to-read,to-read (#227),to-read,,,,0,,,0,,,,,
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",4,4.13,Henry Holt and Co.,Hardcover,368,2016,2016,2021/07/14,2021/06/08,,,read,,,,1,,,0,,,,,
